epochs,val_loss,val_acc,loss,acc,config
71,5.643491230010986,0.06,3.2525879585318056,0.21385662760443816,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
72,5.355021117255092,0.04,3.1802846884727476,0.23539999842643738,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
73,5.262347292900086,0.04,3.1437019437706657,0.23748498223498196,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
74,5.0419443213939665,0.07,3.235655472762689,0.21645975150212698,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
75,5.044427091255784,0.09,3.048290948867798,0.25620000027120116,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
76,5.077449583113194,0.13,3.118880262172456,0.24068882595635815,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
77,5.4866074228286745,0.06,3.1018409085273744,0.2501999996602535,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
78,4.813192990496755,0.06,3.0622176902505176,0.2541049264362444,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
79,4.785548344999552,0.1,3.0704323304000263,0.24749699693574492,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
80,5.467096386887133,0.04,2.9935889410972596,0.263199999704957,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
81,5.649935750067234,0.06,2.9742428082010486,0.256307567895342,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
82,5.09147060573101,0.1,2.976374659538269,0.2652000005543232,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
83,5.961501545906067,0.07,2.885080535745067,0.28534241157934864,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
84,5.5815643648803235,0.02,2.927370718015305,0.2721265520591663,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
85,5.475849006474018,0.09,2.8544544839859007,0.2857999999821186,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
86,5.64613505197689,0.03,2.9260161152160973,0.2755306378174029,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
87,5.20797088444233,0.07,2.8701886510849,0.29160000041127204,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
88,5.308749788999558,0.08,2.767781814575959,0.31097316962447125,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
89,5.874557014107705,0.04,2.813004048385284,0.3013616358972474,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
90,5.901109305024147,0.05,2.808197226524353,0.30219999954104426,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
91,5.512405285835266,0.08,2.7273876590637096,0.312975571621739,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
92,5.742149317264557,0.04,2.783587904419477,0.2933520220390166,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
93,5.688664371967316,0.08,2.6967045521736144,0.31600000061094763,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
94,6.180574840158224,0.07,2.6756379188038037,0.3289947953637619,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
95,6.0343449142575265,0.04,2.6711236000061036,0.32760000094771385,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
96,5.5709256728179755,0.02,2.6179791828800214,0.33900680858753757,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
97,5.724977641105652,0.04,2.600807596456064,0.34160993224652136,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
98,6.132953878641128,0.05,2.5885491013526916,0.3438000024855137,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
99,5.739506168961525,0.08,2.5818801861932195,0.34901882405514045,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
